title,pubdate,frequent_words
Keir Starmer suffers major Labour rebellion over Gaza ceasefire vote,"Wed, 15 Nov 2023 21:34:15 GMT","['50', 'labour', 'mps', 'defy', 'sir', 'keir', 'vote', 'immediate', 'ceasefire', 'war']"
Sunak vows emergency legislation to force through Rwanda policy,"Wed, 15 Nov 2023 20:24:24 GMT","['follows', 'supreme', 'court', 'ruling', 'policy', 'send', 'illegal', 'migrants', 'rwanda', 'unlawful']"
Jeremy Bowen: Hospital raid comes as tone shifts on Israel,"Wed, 15 Nov 2023 12:59:28 GMT","['allies', 'starting', 'change', 'tune', 'israeli', 'troops', 'enter', 'gaza', 'largest', 'hospital']"
Matthew Perry: Aniston leads final Friends' tribute to 'our Matty',"Wed, 15 Nov 2023 19:59:43 GMT","['jennifer', 'aniston', 'david', 'schwimmer', 'lisa', 'kudrow', 'pay', 'tribute', 'beloved']"
Derby fire deaths: Killer Paul Mosley can be released from prison,"Wed, 15 Nov 2023 14:59:37 GMT","['paul', 'mosley', 'jailed', '2013', 'part', 'arson', 'attack', 'derby']"
Starbucks faces walkout at hundreds of US stores,"Wed, 15 Nov 2023 19:49:29 GMT","['action', 'comes', 'amid', 'bitter', 'labour', 'fight', 'coffee', 'giant']"
Margot Robbie unable to speak at Saltburn premiere,"Wed, 15 Nov 2023 17:29:36 GMT","['actress', 'producer', 'lost', 'voice', 'first', 'red', 'carpet', 'since', 'end', 'actors', 'strike']"
Breonna Taylor: Jurors deliberate for a third day over ex-officer's fate,"Wed, 15 Nov 2023 19:15:56 GMT","['jurors', 'deliberating', 'third', 'day', 'weigh', 'whether', 'ms', 'taylor', 'civil', 'rights', 'violated']"
Ukraine war: Army claims foothold on bank of Dnipro river in south,"Wed, 15 Nov 2023 11:32:32 GMT","['russia', 'admits', 'small', 'groups', 'ukrainian', 'forces', 'seized', 'village', 'east', 'dnipro', 'river']"
Plane forced to return to airport after horse escapes crate,"Wed, 15 Nov 2023 20:05:46 GMT","['horse', 'problem', 'jet', 'flying', 'belgium', 'equine', 'passenger', 'escaped', 'crate']"
Joasia Zakrzewski banned for 12 months for using car in race,"Wed, 15 Nov 2023 18:12:33 GMT","['runner', 'joasia', 'zakrzewski', 'banned', '12', 'months', 'uk', 'athletics', 'using', 'car', 'race']"
What a falling inflation rate means for your finances,"Wed, 15 Nov 2023 12:34:18 GMT","['falling', 'inflation', 'rising', 'wages', 'ease', 'cost', 'living', 'pressures', 'money', 'still', 'tight']"
Paris Mayor Hidalgo trains sights on SUVs after e-scooter rental ban,"Wed, 15 Nov 2023 12:17:12 GMT","['winning', 'city', 'referendum', 'anne', 'hidalgo', 'new', 'target', 'sights']"
Rwanda asylum plan: Fact-checking claims about the government's policies,"Wed, 15 Nov 2023 18:31:17 GMT","['looking', 'claims', 'small', 'boats', 'returning', 'failed', 'asylum', 'seekers']"
Ukraine war: Russian diamonds set for ban under new EU sanctions,"Wed, 15 Nov 2023 15:42:03 GMT","['one', 'third', 'world', 'diamonds', 'come', 'russia', 'far', 'escaped', 'sanctions', 'trade']"
Xi Jinping arrives in US as his Chinese Dream sputters,"Wed, 15 Nov 2023 03:54:16 GMT","['economic', 'woes', 'put', 'chinese', 'leader', 'vulnerable', 'negotiating', 'position', 'visit']"
Prunella Scales and Timothy West: Dementia won't break our 60-year love story,"Wed, 15 Nov 2023 02:03:15 GMT","['prunella', 'scales', 'timothy', 'west', 'celebrate', 'six', 'decades', 'marriage', 'undiminished', 'dementia']"
Glastonbury 2024: 10 tips for getting tickets,"Wed, 15 Nov 2023 01:54:29 GMT","['tickets', '2024', 'festival', 'go', 'sale', 'week', 'likely', 'lot', 'competition']"
How meeting in Rishi Sunak's flat sealed David Cameron's return,"Tue, 14 Nov 2023 19:41:24 GMT","['talk', 'getting', 'former', 'prime', 'minister', 'board', 'intensified', 'conservative', 'party', 'conference']"
Weight loss injection hype fuels online black market,"Wed, 15 Nov 2023 11:48:28 GMT","['doctors', 'warn', 'drugs', 'unregulated', 'sources', 'could', 'contain', 'potentially', 'toxic', 'ingredients']"
Large whale found dead on beach,"Wed, 15 Nov 2023 09:21:07 GMT","['surfers', 'found', 'dead', 'whale', 'fistral', 'beach']"
Kylie Minogue 'proud' of Stockton campaigner with cervical cancer,"Wed, 15 Nov 2023 08:08:15 GMT","['pop', 'star', 'spoke', 'stockton', 'woman', 'wendy', 'clarke', 'special', 'bbc', 'local', 'radio', 'programme']"
Oladips: Nigerian rapper dies aged 28,"Wed, 15 Nov 2023 15:41:37 GMT","['tributes', 'paid', 'young', 'rapper', 'due', 'release', 'new', 'album', 'thursday']"
Noise row silences 200-year ringing of Beith church bell,"Wed, 15 Nov 2023 13:49:21 GMT","['bell', 'beith', 'parish', 'church', 'ayrshire', 'ended', 'environmental', 'health', 'complaint']"
Aria Awards: Troye Sivan wins big and Kylie Minogue wins with Padam Padam,"Wed, 15 Nov 2023 12:32:39 GMT","['kylie', 'minogue', 'wins', 'padam', 'padam', 'aria', 'awards', 'troye', 'sivan', 'takes', 'home', 'four', 'awards']"
Brazil: Health warnings as country gripped by 'unbearable' heatwave,"Wed, 15 Nov 2023 13:54:07 GMT","['hundred', 'million', 'people', 'thought', 'affected', 'extreme', 'weather']"
Greta Thunberg pleads not guilty to public order offence,"Wed, 15 Nov 2023 13:12:41 GMT","['swedish', 'climate', 'activist', 'appeared', 'magistrates', 'london', 'protest', 'last', 'month']"
Guinness World Record: Nigerian sets record for longest wig,"Wed, 15 Nov 2023 11:55:30 GMT","['helen', 'williams', 'lay', 'wig', 'highway', 'nigeria', 'could', 'measured']"
Drake's IDGAF: Meet the 82-year-old jazz singer sampled in new hit,"Wed, 15 Nov 2023 11:47:58 GMT","['norma', 'winstone', 'features', 'drake', 'idgaf', 'featuring', 'yeat', 'released', 'last', 'month']"
World Cup trophy safe after South Africa rugby offices burgled,"Wed, 15 Nov 2023 13:39:56 GMT","['burglars', 'break', 'south', 'africa', 'rugby', 'union', 'headquarters', 'steal', 'trophies']"
